birth_year,birth_defect_name,sex,residence,birth_defect_count,live_births,prevalence_per_10k_live_births
1992,Anencephalus,All,NYC,7,131574,0.53
1992,Spina bifida without anencephalus,All,NYC,57,131574,4.33
1992,Encephalocele,All,NYC,22,131574,1.67
1992,Anophthalmia/microphthalmia,All,NYC,20,131574,1.52
1992,Congenital cataract,All,NYC,19,131574,1.44
1992,Anotia/microtia,All,NYC,21,131574,1.6
1992,Common truncus (truncus arteriosus),All,NYC,13,131574,0.99
1992,Transposition of the great arteries (TGA),All,NYC,11,131574,0.84
1992,Dextro-transposition of great arteries (d-TGA),All,NYC,8,131574,0.61
1992,Tetralogy of Fallot,All,NYC,66,131574,5.02
1992,Ventricular septal defect,All,NYC,417,131574,31.69
1992,Atrial septal defect,All,NYC,241,131574,18.32
1992,"Atrioventricular septal defect (Endocardial
cushion defect)",All,NYC,43,131574,3.27
1992,Pulmonary valve atresia and stenosis,All,NYC,119,131574,9.04
1992,Pulmonary valve atresia,All,NYC,10,131574,0.76
1992,Tricuspid valve atresia and stenosis,All,NYC,16,131574,1.22
1992,Tricuspid valve atresia,All,NYC,10,131574,0.76
1992,Ebstein anomaly,All,NYC,3,131574,0.23
1992,Aortic valve stenosis,All,NYC,14,131574,1.06
1992,Hypoplastic left heart syndrome,All,NYC,21,131574,1.6
1992,Coarctation of the aorta,All,NYC,43,131574,3.27
1992,Total anomalous pulmonary venous connection,All,NYC,6,131574,0.46
1992,Cleft palate alone,All,NYC,58,131574,4.41
1992,Choanal atresia,All,NYC,25,131574,1.9
1992,Esophageal atresia/tracheoesophageal fistula,All,NYC,37,131574,2.81
1992,Rectal and large intestinal atresia/stenosis,All,NYC,46,131574,3.5
1992,Biliary atresia,All,NYC,23,131574,1.75
1992,Renal agenesis/hypoplasia,All,NYC,37,131574,2.81
1992,Bladder exstrophy,All,NYC,3,131574,0.23
1992,Gastroschisis,All,NYC,18,131574,1.37
1992,Omphalocele,All,NYC,13,131574,0.99
1992,Diaphragmatic hernia,All,NYC,26,131574,1.98
1992,Trisomy 13,All,NYC,17,131574,1.29
1992,Trisomy 21 (Down syndrome),All,NYC,170,131574,12.92
1992,Trisomy 18,All,NYC,23,131574,1.75
1992,Hypospadias,All,NYC,398,131574,30.25
1992,Turner syndrome,All,NYC,6,131574,0.46
1992,Deletion 22q11.2,All,NYC,5,131574,0.38
1992,Limb deficiencies (reduction defects),All,NYC,47,131574,3.57
1992,Craniosynostosis,All,NYC,41,131574,3.12
1992,Clubfoot,All,NYC,189,131574,14.36
1992,Congenital posterior urethral valves,All,NYC,7,131574,0.53
1992,Small intestinal atresia/stenosis,All,NYC,50,131574,3.8
1992,Cleft lip alone,All,NYC,28,131574,2.13
1992,Cleft lip with cleft palate,All,NYC,65,131574,4.94
1992,Single ventricle,All,NYC,12,131574,0.91
1992,Interrupted aortic arch,All,NYC,10,131574,0.76
1992,Double outlet right ventricle,All,NYC,28,131574,2.13
1992,Holoprosencephaly,All,NYC,8,131574,0.61
1992,Anencephalus,Male,All,8,147086,0.54
1992,Spina bifida without anencephalus,Male,All,57,147086,3.88
1992,Encephalocele,Male,All,14,147086,0.95
1992,Anophthalmia/microphthalmia,Male,All,21,147086,1.43
1992,Congenital cataract,Male,All,25,147086,1.7
1992,Anotia/microtia,Male,All,26,147086,1.77
1992,Common truncus (truncus arteriosus),Male,All,13,147086,0.88
1992,Transposition of the great arteries (TGA),Male,All,21,147086,1.43
1992,Dextro-transposition of great arteries (d-TGA),Male,All,16,147086,1.09
1992,Tetralogy of Fallot,Male,All,93,147086,6.32
1992,Ventricular septal defect,Male,All,452,147086,30.73
1992,Atrial septal defect,Male,All,200,147086,13.6
1992,"Atrioventricular septal defect (Endocardial
cushion defect)",Male,All,45,147086,3.06
1992,Pulmonary valve atresia and stenosis,Male,All,111,147086,7.55
1992,Pulmonary valve atresia,Male,All,8,147086,0.54
1992,Tricuspid valve atresia and stenosis,Male,All,17,147086,1.16
1992,Tricuspid valve atresia,Male,All,10,147086,0.68
1992,Ebstein anomaly,Male,All,4,147086,0.27
1992,Aortic valve stenosis,Male,All,29,147086,1.97
1992,Hypoplastic left heart syndrome,Male,All,32,147086,2.18
1992,Coarctation of the aorta,Male,All,61,147086,4.15
1992,Total anomalous pulmonary venous connection,Male,All,21,147086,1.43
1992,Cleft palate alone,Male,All,61,147086,4.15
1992,Choanal atresia,Male,All,28,147086,1.9
1992,Esophageal atresia/tracheoesophageal fistula,Male,All,46,147086,3.13
1992,Rectal and large intestinal atresia/stenosis,Male,All,52,147086,3.54
1992,Biliary atresia,Male,All,24,147086,1.63
1992,Renal agenesis/hypoplasia,Male,All,59,147086,4.01
1992,Bladder exstrophy,Male,All,4,147086,0.27
1992,Gastroschisis,Male,All,20,147086,1.36
1992,Omphalocele,Male,All,20,147086,1.36
1992,Diaphragmatic hernia,Male,All,30,147086,2.04
1992,Trisomy 13,Male,All,13,147086,0.88
1992,Trisomy 21 (Down syndrome),Male,All,159,147086,10.81
1992,Trisomy 18,Male,All,17,147086,1.16
1992,Hypospadias,Male,All,978,147086,66.49
1992,Deletion 22q11.2,Male,All,6,147086,0.41
1992,Limb deficiencies (reduction defects),Male,All,67,147086,4.56
1992,Craniosynostosis,Male,All,86,147086,5.85
1992,Clubfoot,Male,All,233,147086,15.84
1992,Congenital posterior urethral valves,Male,All,21,147086,1.43
1992,Small intestinal atresia/stenosis,Male,All,42,147086,2.86
1992,Cleft lip alone,Male,All,43,147086,2.92
1992,Cleft lip with cleft palate,Male,All,96,147086,6.53
1992,Single ventricle,Male,All,17,147086,1.16
1992,Interrupted aortic arch,Male,All,10,147086,0.68
1992,Double outlet right ventricle,Male,All,49,147086,3.33
1992,Holoprosencephaly,Male,All,6,147086,0.41
1992,Anencephalus,Female,All,13,140395,0.93
1992,Spina bifida without anencephalus,Female,All,55,140395,3.92
1992,Encephalocele,Female,All,21,140395,1.5
1992,Anophthalmia/microphthalmia,Female,All,21,140395,1.5
1992,Congenital cataract,Female,All,30,140395,2.14
1992,Anotia/microtia,Female,All,14,140395,1
1992,Common truncus (truncus arteriosus),Female,All,17,140395,1.21
1992,Transposition of the great arteries (TGA),Female,All,9,140395,0.64
1992,Dextro-transposition of great arteries (d-TGA),Female,All,8,140395,0.57
1992,Tetralogy of Fallot,Female,All,58,140395,4.13
1992,Ventricular septal defect,Female,All,502,140395,35.76
1992,Atrial septal defect,Female,All,209,140395,14.89
1992,"Atrioventricular septal defect (Endocardial
cushion defect)",Female,All,47,140395,3.35
1992,Pulmonary valve atresia and stenosis,Female,All,122,140395,8.69
1992,Pulmonary valve atresia,Female,All,9,140395,0.64
1992,Tricuspid valve atresia and stenosis,Female,All,13,140395,0.93
1992,Tricuspid valve atresia,Female,All,7,140395,0.5
1992,Ebstein anomaly,Female,All,2,140395,0.14
1992,Aortic valve stenosis,Female,All,16,140395,1.14
1992,Hypoplastic left heart syndrome,Female,All,20,140395,1.42
1992,Coarctation of the aorta,Female,All,46,140395,3.28
1992,Total anomalous pulmonary venous connection,Female,All,6,140395,0.43
1992,Cleft palate alone,Female,All,88,140395,6.27
1992,Choanal atresia,Female,All,42,140395,2.99
1992,Esophageal atresia/tracheoesophageal fistula,Female,All,38,140395,2.71
1992,Rectal and large intestinal atresia/stenosis,Female,All,68,140395,4.84
1992,Biliary atresia,Female,All,13,140395,0.93
1992,Renal agenesis/hypoplasia,Female,All,27,140395,1.92
1992,Bladder exstrophy,Female,All,4,140395,0.28
1992,Gastroschisis,Female,All,16,140395,1.14
1992,Omphalocele,Female,All,21,140395,1.5
1992,Diaphragmatic hernia,Female,All,30,140395,2.14
1992,Trisomy 13,Female,All,13,140395,0.93
1992,Trisomy 21 (Down syndrome),Female,All,164,140395,11.68
1992,Trisomy 18,Female,All,22,140395,1.57
1992,Turner syndrome,Female,All,14,140395,1
1992,Deletion 22q11.2,Female,All,4,140395,0.28
1992,Limb deficiencies (reduction defects),Female,All,60,140395,4.27
1992,Craniosynostosis,Female,All,34,140395,2.42
1992,Clubfoot,Female,All,139,140395,9.9
1992,Small intestinal atresia/stenosis,Female,All,59,140395,4.2
1992,Cleft lip alone,Female,All,25,140395,1.78
1992,Cleft lip with cleft palate,Female,All,68,140395,4.84
1992,Single ventricle,Female,All,13,140395,0.93
1992,Interrupted aortic arch,Female,All,9,140395,0.64
1992,Double outlet right ventricle,Female,All,25,140395,1.78
1992,Holoprosencephaly,Female,All,7,140395,0.5
1992,Anencephalus,All,All,21,287481,0.73
1992,Spina bifida without anencephalus,All,All,112,287481,3.9
1992,Encephalocele,All,All,35,287481,1.22
1992,Anophthalmia/microphthalmia,All,All,42,287481,1.46
1992,Congenital cataract,All,All,55,287481,1.91
1992,Anotia/microtia,All,All,40,287481,1.39
1992,Common truncus (truncus arteriosus),All,All,30,287481,1.04
1992,Transposition of the great arteries (TGA),All,All,30,287481,1.04
1992,Dextro-transposition of great arteries (d-TGA),All,All,24,287481,0.83
1992,Tetralogy of Fallot,All,All,151,287481,5.25
